"fofem_cd","bark_thickness_per_inch"
"GYDI","0.031"
"HALSPP","0.038"
"ILOP","0.042"
"ILOPA","0.042"
"ILOPO","0.042"
"JUCI","0.041"
"JUNI","0.041"
"JUNSPP","0.040"
"JUOC","0.045"
"JUOCO","0.045"
"JUVI","0.040"
"JUVIC","0.040"
"JUVIC2","0.040"
"JUVIS","0.040"
"JUVIS3","0.040"
"JUVIV","0.040"
"LALA","0.031"
"LALAA5","0.031"
"LALAA9","0.031"
"LALY","0.050"
"LIDE3","0.052"
"LIDED2","0.052"
"LIDEE","0.052"
"LIST2","0.060"
"LITU","0.050"
"MAAC","0.036"
"MAACC2","0.036"
"MAACO","0.036"
"MAACS","0.036"
"MAGR4","0.033"
"MAGSPP","0.039"
"MALPRU","0.038"
"MALSPP","0.043"
"MAMA2","0.033"
"MAPO","0.037"
"MAVI2","0.040"
"MAVIA2","0.040"
"MAVIP","0.040"
"MAVIT2","0.040"
"MOAL","0.038"
"MOALM","0.038"
"MOALT","0.038"
"MORSPP","0.033"
"MORU2","0.038"
"MORUR","0.038"
"MORUT","0.038"
"NYAQ2","0.057"
"NYBI","0.057"
"NYOG","0.057"
"NYSSPP","0.044"
"NYSY","0.057"
"NYSYC","0.057"
"NYSYD","0.057"
"NYSYT","0.057"
"OSVI","0.037"
"OSVIC","0.037"
"OSVIL","0.037"
"OSVIV","0.037"
"OXAR","0.036"
"PATO2","0.050"
"PEBO","0.038"
"PIAT","0.030"
"PIBA2","0.040"
"PICL","0.035"
"PICLI","0.035"
"PICLI2","0.035"
"PIEC2","0.037"
"PIEL","0.055"
"PIELA","0.055"
"PIELA2","0.055"
"PIELD","0.055"
"PIELE2","0.055"
"PIFL2","0.030"
"PIFLA","0.030"
"PIFLA2","0.030"
"PIFLC","0.030"
"PIFLC2","0.030"
"PIGL2","0.035"
"PIMO3","0.035"
"PINSPP","0.030"
"PIPU5","0.040"
"PIRE","0.043"
"PIRI","0.045"
"PISA2","0.033"
"PISE","0.062"
"PIST","0.045"
"PISY","0.030"
"PITA","0.052"
"PIVI2","0.033"
"PLOC","0.033"
"PLOCG","0.033"
"POBA2","0.040"
"POBAB2","0.040"
"POBAC2","0.040"
"POBAC3","0.044"
"POBAF","0.040"
"POBAL","0.040"
"POBAM","0.040"
"POBAS2","0.040"
"POBAT","0.044"
"PODE3","0.040"
"PODEA","0.040"
"PODED","0.040"
"PODEM","0.040"
"PODEM2","0.040"
"PODEO","0.040"
"PODEP","0.040"
"PODEV","0.040"
"PODEW","0.040"
"PODEW3","0.040"
"POGR4","0.039"
"POGRA2","0.039"
"POGRM4","0.039"
"POGRS","0.039"
"POHE4","0.050"
"POPSPP","0.038"
"POTR15","0.044"
"POTRC","0.044"
"POTRH","0.044"
"POTRH2","0.044"
"POTRI","0.044"
"PRAM","0.040"
"PREM","0.062"
"PREMC","0.062"
"PREME","0.062"
"PREMM","0.062"
"PRPE2","0.045"
"PRPEC","0.045"
"PRPEP","0.045"
"PRPES","0.045"
"PRSE2","0.030"
"PRSEE","0.030"
"PRSEE2","0.030"
"PRSER2","0.030"
"PRSES","0.030"
"PRSEV","0.030"
"PRUSPP","0.050"
"PRVI","0.040"
"PRVID","0.040"
"PRVID2","0.040"
"PRVIM","0.040"
"PRVIM2","0.040"
"PRVIV","0.040"
"QUAG","0.050"
"QUAGA","0.050"
"QUAGO","0.050"
"QUAL","0.040"
"QUALS","0.040"
"QUALS2","0.040"
"QUBI","0.045"
"QUCH2","0.024"
"QUCHC","0.024"
"QUCHN","0.024"
"QUCO2","0.040"
"QUCOC","0.040"
"QUCOT","0.040"
"QUDU","0.033"
"QUEL","0.038"
"QUEN","0.059"
"QUESPP","0.045"
"QUFA","0.044"
"QUFAT","0.044"
"QUGA4","0.029"
"QUGAG2","0.029"
"QUGAS","0.029"
"QUIM","0.041"
"QUIN","0.038"
"QUKE","0.030"
"QULA2","0.037"
"QULA3","0.036"
"QULO","0.043"
"QULOA","0.043"
"QULOI","0.043"
"QULOT","0.043"
"QULOW","0.043"
"QULY","0.039"
"QUMA2","0.042"
"QUMA3","0.037"
"QUMAA","0.037"
"QUMAA2","0.037"
"QUMAD","0.042"
"QUMAM","0.042"
"QUMAM2","0.037"
"QUMAO","0.042"
"QUMI","0.046"
"QUMO4","0.049"
"QUMU","0.042"
"QUNI","0.036"
"QUNIH","0.036"
"QUNU","0.030"
"QUNUC","0.030"
"QUPA2","0.041"
"QUPH","0.041"
"QUPR2","0.049"
"QUPR4","0.046"
"QURU","0.042"
"QURUA","0.042"
"QURUB","0.042"
"QURUR","0.042"
"QUSH","0.037"
"QUSHS","0.037"
"QUSHS2","0.037"
"QUSHS3","0.037"
"QUST","0.044"
"QUSTA2","0.044"
"QUSTP2","0.044"
"QUTE","0.030"
"QUVE","0.045"
"QUVEM","0.045"
"QUVI","0.043"
"QUWI2","0.034"
"QUWIF","0.034"
"QUWIW","0.034"
"ROPS","0.049"
"SAAL5","0.035"
"SABE2","0.040"
"SABED","0.040"
"SABEL","0.040"
"SABEP","0.040"
"SABEP2","0.040"
"SALSPP","0.041"
"SANI","0.040"
"SANIA2","0.040"
"SANIB","0.040"
"SANIB2","0.040"
"SANIF2","0.040"
"SANIL2","0.040"
"SANIL3","0.040"
"SANIM2","0.040"
"SEGI2","0.081"
"SEGI3","0.081"
"SESE3","0.081"
"SOAM3","0.040"
"TAAS","0.042"
"TABR2","0.025"
"TADI2","0.025"
"TADII","0.042"
"TADIN","0.042"
"THOC2","0.025"
"THOCF","0.025"
"THOCM3","0.025"
"THOCN","0.025"
"THOCP3","0.025"
"THPL","0.035"
"THUSPP","0.033"
"TIAM","0.038"
"TIAMA","0.038"
"TIAMC","0.038"
"TIAMH","0.050"
"TIAMN","0.038"
"TIHE","0.050"
"TSCA","0.039"
"TSHE","0.040"
"TSME","0.040"
"ULAL","0.031"
"ULAM","0.031"
"ULAMF2","0.031"
"ULMSPP","0.039"
"ULPU","0.038"
"ULRA","0.033"
"ULRU","0.032"
"ULTH","0.033"
"UMCA","0.026"
"UMCAC","0.026"
"UMCAF","0.026"
